597,598,592,594,297
598,601,597,599,300
602,602,599,601,301
602,604,598,599,300
603,604,600,602,301
605,606,602,604,302
604,607,603,605,303
599,605,598,603,302
595,598,589,595,298
591,593,588,591,296
593,594,588,592,296
594,596,589,590,295
597,598,592,595,298
597,603,594,595,298
593,594,590,592,296
594,596,589,592,296
592,593,584,591,296
591,593,586,587,294
581,582,577,578,289
569,576,568,573,287
569,573,565,572,286
563,572,562,564,282
574,574,553,556,278
589,590,580,582,291
590,593,587,590,295
587,597,587,595,298
587,589,578,583,292
587,593,583,591,296
597,598,590,591,296
589,600,589,597,299
585,590,581,584,292
593,598,583,584,292
603,604,594,595,298
614,617,601,603,302
620,620,614,617,309
622,623,618,623,312
630,631,621,625,313
624,629,623,627,314
623,625,621,625,313
625,630,622,624,312
617,622,614,620,310
619,620,615,616,308
616,621,611,615,308
617,619,613,614,307
620,621,613,619,310
616,620,612,616,309
613,621,611,619,310
616,625,615,617,309
612,615,610,613,307
612,616,606,612,306
608,617,607,608,304
609,615,603,608,304
601,620,601,618,309
599,602,592,601,301
544,545,537,541,271
547,547,542,543,272
540,546,538,541,271
538,545,537,539,270
533,538,528,536,268
536,537,529,530,265
539,540,530,534,267
528,540,527,538,269
525,528,519,522,261
530,531,523,526,263
529,532,519,526,263
528,533,525,528,264
533,534,518,527,264
529,537,529,530,265
522,528,518,527,264
515,520,511,513,257
513,518,512,516,258
510,520,509,513,257
493,510,492,508,254
484,491,481,490,245
480,482,479,481,241
480,482,479,481,241
482,485,480,480,240
481,484,480,482,241
479,480,475,476,238
478,480,471,476,238
465,473,465,471,236
465,468,463,464,232
471,472,467,470,235
463,464,460,463,232
455,465,453,460,230
450,455,448,450,225
459,460,452,453,227
453,460,448,459,230
456,457,450,451,226
450,458,450,455,228
458,458,451,451,226
462,468,458,464,232
468,472,461,462,231
481,483,467,468,234
490,491,482,482,241
489,495,486,491,246
484,490,481,486,243
489,491,486,486,243
484,495,483,492,246
498,498,492,492,246
502,506,499,504,252
502,506,501,505,253
505,506,496,500,250
506,509,504,508,254
492,507,491,506,253
491,492,487,490,245
489,493,487,490,245
480,487,479,485,243
486,489,479,485,243
495,495,483,484,242
491,497,490,493,247
489,491,485,489,245
481,491,480,490,245
483,489,482,485,243
484,486,475,477,239
461,483,461,482,241
461,470,458,466,233
469,471,460,460,230
492,495,483,494,247
490,494,486,491,246
482,493,480,489,245
472,479,471,476,238
472,473,463,467,234
454,457,450,457,229
438,451,435,450,225
444,448,434,436,218
442,442,436,437,218
445,448,434,439,220
455,458,445,445,223
463,465,451,454,227
473,478,469,472,236
477,478,471,473,237
480,483,473,475,238
487,487,478,482,241
490,497,486,486,243
500,501,485,489,245
503,503,498,500,250
503,506,497,500,250
496,504,496,501,251
483,500,482,498,249
494,495,483,483,242
482,489,482,489,244
480,489,476,487,244
487,489,472,474,237
488,489,478,485,243
499,501,483,486,243
500,509,497,499,250
495,508,495,506,253
487,494,481,493,247
480,491,480,482,241
493,493,483,486,243
485,492,481,490,245
482,490,475,475,238
468,477,464,477,239
481,490,477,477,239
469,485,464,472,236
485,486,474,475,238
496,499,488,494,247
510,511,497,498,249
507,508,498,508,254
510,511,496,508,254
517,522,510,511,256
512,512,502,505,253
516,520,508,509,255
514,523,513,522,261
500,505,481,493,247
509,518,460,499,250
501,516,500,510,255
527,527,504,506,253
527,533,525,531,266
531,538,525,526,263
533,537,527,532,266
532,535,521,529,265
529,538,527,529,265
545,545,529,532,266
547,549,542,545,273
552,552,543,547,274
556,560,552,554,277
554,560,551,555,278
549,554,545,550,275
563,569,550,550,275
592,598,588,595,298
590,592,584,589,295
573,589,571,587,294
567,574,566,573,287
567,569,564,566,283
563,570,560,567,284
567,569,562,564,282
569,571,565,568,284
571,575,569,571,286
571,573,566,569,285
565,570,563,567,284
563,568,560,567,284
563,565,561,562,282
565,567,560,563,282
559,572,559,563,282
546,560,540,557,279
557,558,542,549,275
556,567,554,557,279
560,568,557,560,280
565,568,563,566,283
568,571,564,566,283
562,568,561,565,283
567,569,556,563,282
588,588,579,580,290
574,586,574,581,291
564,579,562,576,289
560,565,557,560,280
565,565,561,562,282
561,568,560,564,282
547,556,546,555,278
542,548,539,545,273
535,546,535,541,271
529,533,528,533,267
527,532,523,527,264
527,528,520,526,263
534,538,531,531,266
543,544,532,535,268
547,547,541,543,272
541,544,540,541,271
538,545,536,543,272
542,543,538,538,269
537,544,534,541,271
533,537,531,533,267
533,540,530,536,268
534,538,528,534,267
540,542,535,536,268
532,542,532,533,267
528,534,522,531,266
537,538,526,527,264
529,542,528,541,271
535,535,528,531,266
535,536,530,533,267
538,541,526,530,265
544,547,531,534,267
541,548,535,542,271
538,550,536,542,271
547,550,536,540,270
565,571,535,550,275
583,587,572,583,292
586,586,575,580,290
581,590,576,588,294
593,594,578,580,290
584,594,583,590,295
576,588,574,587,294
598,598,588,590,296
604,604,594,601,301
592,603,589,602,301
609,610,593,594,297
626,626,606,608,304
627,628,622,624,312
627,630,624,627,314
