323,323,321,323,1,1,1,1,1,1,1,1,43
325,326,323,324,1,1,1,1,1,1,1,1,43
326,326,325,325,1,1,1,1,1,1,1,1,43
326,327,325,325,1,1,1,1,1,1,1,1,43
323,325,322,325,1,1,1,1,1,1,1,1,43
325,325,323,324,1,1,1,1,1,1,1,1,43
324,326,324,325,1,1,1,1,1,1,1,1,43
323,324,322,324,1,1,1,1,1,1,1,1,43
322,323,318,322,1,1,1,1,1,1,1,1,43
322,322,320,321,1,1,1,1,1,1,1,1,43
321,323,320,321,1,1,1,1,1,1,1,1,43
320,323,319,320,1,1,1,1,1,1,1,1,43
322,323,319,320,1,1,1,1,1,1,1,1,43
324,325,321,322,1,1,1,1,1,1,1,1,43
320,321,319,321,1,1,1,1,1,1,1,1,43
322,323,319,320,1,1,1,1,1,1,1,1,43
320,321,317,321,1,1,1,1,1,1,1,1,43
324,324,318,318,1,1,1,1,1,1,1,1,43
319,322,318,320,1,1,1,1,1,1,1,1,43
317,319,316,317,1,1,1,1,1,1,1,1,42
318,319,315,318,1,1,1,1,1,1,1,1,43
315,318,315,316,1,1,1,1,1,1,1,1,42
314,314,311,311,1,1,1,1,1,1,1,1,42
316,317,311,317,1,1,1,1,1,1,1,1,42
314,318,313,315,1,1,1,1,1,1,1,1,42
312,315,312,315,1,1,1,1,1,1,1,1,42
310,312,307,309,1,1,1,1,1,1,1,1,41
307,313,306,313,1,1,1,1,1,1,1,1,42
308,308,305,307,1,1,1,1,1,1,1,1,41
305,310,305,308,1,1,1,1,1,1,1,1,41
301,304,298,300,1,1,1,1,1,1,1,1,40
306,308,299,302,1,1,1,1,1,1,1,1,40
308,311,306,307,1,1,1,1,1,1,1,1,41
316,317,304,308,1,1,1,1,1,1,1,1,41
315,318,314,317,1,1,1,1,1,1,1,1,42
317,319,314,318,1,1,1,1,1,1,1,1,42
321,321,314,316,1,1,1,1,1,1,1,1,42
317,320,317,319,1,1,1,1,1,1,1,1,43
318,320,317,317,1,1,1,1,1,1,1,1,42
315,320,315,318,1,1,1,1,1,1,1,1,43
311,313,309,313,1,1,1,1,1,1,1,1,42
307,310,307,309,1,1,1,1,1,1,1,1,41
302,306,302,304,1,1,1,1,1,1,1,1,41
304,306,301,301,1,1,1,1,1,1,1,1,40
308,308,301,305,1,1,1,1,1,1,1,1,41
308,310,306,308,1,1,1,1,1,1,1,1,41
307,310,306,308,1,1,1,1,1,1,1,1,41
309,312,308,309,1,1,1,1,1,1,1,1,41
309,310,306,307,1,1,1,1,1,1,1,1,41
312,315,307,310,1,1,1,1,1,1,1,1,41
309,314,307,311,1,1,1,1,1,1,1,1,41
303,314,300,309,1,1,1,1,1,1,1,1,41
318,319,314,318,1,1,1,1,1,1,1,1,42
307,315,305,315,1,1,1,1,1,1,1,1,42
302,302,300,302,1,1,1,1,1,1,1,1,40
300,302,300,300,1,1,1,1,1,1,1,1,40
295,299,292,299,1,1,1,1,1,1,1,1,40
295,297,295,295,1,1,1,1,1,1,1,1,39
292,295,290,294,1,1,1,1,1,1,1,1,39
290,290,287,289,1,1,1,1,1,1,1,1,39
290,292,285,289,1,1,1,1,1,1,1,1,39
282,289,282,289,1,1,1,1,1,1,1,1,39
282,283,278,279,1,1,1,1,1,1,1,1,37
286,287,281,283,1,1,1,1,1,1,1,1,38
289,290,281,284,1,1,1,1,1,1,1,1,38
287,290,286,287,1,1,1,1,1,1,1,1,38
